benchmark\N	8	16	32	64	128	256	512	1024
mm_mul_restricted_ikj	0.5060355279	1.734265734	3.186580324	3.118993656	4.41670239	3.922983612	4.405646843	1.927238231
mm_mul_simple_ikj	0.5956073955	1.587898675	1.552078797	3.056183049	2.519924705	2.758424005	2.285660314	1.449351745
